-->-->-->-->-->-->-->-->-->--> start training ...
GBAF_new: Idx=177, lr=0.000982, snr1=2.965 ,snr2=100.000 ,BS=4192 ,loss=0.014 ,BER=0.00109 ,num=73
GBAF_new: Idx=178, lr=0.000982, snr1=2.964 ,snr2=100.000 ,BS=4192 ,loss=0.0136 ,BER=0.000909 ,num=61
GBAF_new: Idx=179, lr=0.000982, snr1=2.964 ,snr2=100.000 ,BS=4192 ,loss=0.0127 ,BER=0.000641 ,num=43
GBAF_new: Idx=180, lr=0.000982, snr1=2.964 ,snr2=100.000 ,BS=4192 ,loss=0.0125 ,BER=0.000641 ,num=43
GBAF_new: Idx=181, lr=0.000982, snr1=2.964 ,snr2=100.000 ,BS=4192 ,loss=0.0129 ,BER=0.000835 ,num=56
GBAF_new: Idx=182, lr=0.000982, snr1=2.964 ,snr2=100.000 ,BS=4192 ,loss=0.0133 ,BER=0.00103 ,num=69
GBAF_new: Idx=183, lr=0.000982, snr1=2.963 ,snr2=100.000 ,BS=4192 ,loss=0.0127 ,BER=0.00079 ,num=53
GBAF_new: Idx=184, lr=0.000982, snr1=2.963 ,snr2=100.000 ,BS=4192 ,loss=0.0124 ,BER=0.000745 ,num=50
GBAF_new: Idx=185, lr=0.000981, snr1=2.963 ,snr2=100.000 ,BS=4192 ,loss=0.0127 ,BER=0.000895 ,num=60
GBAF_new: Idx=186, lr=0.000981, snr1=2.963 ,snr2=100.000 ,BS=4192 ,loss=0.012 ,BER=0.00079 ,num=53
GBAF_new: Idx=187, lr=0.000981, snr1=2.963 ,snr2=100.000 ,BS=4192 ,loss=0.0116 ,BER=0.000671 ,num=45
GBAF_new: Idx=188, lr=0.000981, snr1=2.962 ,snr2=100.000 ,BS=4192 ,loss=0.0116 ,BER=0.000581 ,num=39
GBAF_new: Idx=189, lr=0.000981, snr1=2.962 ,snr2=100.000 ,BS=4192 ,loss=0.0115 ,BER=0.000537 ,num=36
